Open,High,Volume
10.46,10.70,11340948
10.70,10.98,51878743
10.90,11.19,24976847
11.03,11.25,11476599
10.96,10.97,5794599
10.85,10.91,4189280
10.76,10.90,4247483
10.98,11.18,8870360
11.09,11.20,4061481
11.18,11.27,4262272
11.20,11.28,19565377
11.20,11.29,56757167
11.07,11.41,34217683
11.07,11.08,23003012
10.69,10.75,24737724
10.61,10.74,10941715
10.34,10.73,10805458
10.79,11.13,8075117
10.87,11.37,6940069
11.24,11.35,6204112
11.24,11.29,6169195
11.29,11.43,9446366
11.38,11.43,6374473
11.33,11.43,5208055
11.42,11.59,7607950
11.55,11.59,6036712
11.57,11.81,6494862
11.62,11.64,8113736
11.55,11.82,6151859
11.63,11.88,6428439
11.75,11.99,8362112
11.59,11.75,8139495
11.66,11.98,8155716
11.84,12.00,8114343
11.88,12.04,7709619
11.74,11.82,5171870
11.41,11.77,6924845
11.47,11.63,6680005
11.08,11.40,13349172
11.21,11.74,9058029
11.45,11.75,13472862
11.70,11.99,9146984
12.00,12.37,14960005
12.31,12.68,19956964
11.93,11.98,12203037
11.45,12.10,17131496
12.05,12.37,10553439
12.24,12.47,15514946
11.80,11.99,8048141
11.70,11.98,10953044
11.64,11.66,8889217
11.35,11.47,7791864
11.60,11.64,10864520
11.34,11.55,7039284
11.60,11.60,15595515
11.25,11.65,9412952
11.70,11.83,4852844
11.86,12.14,7940775
12.07,12.20,7738390
12.00,12.19,4335122
12.08,12.31,16686343
12.00,12.17,6530273
11.90,12.05,4696618
11.92,12.06,5251275
11.80,12.01,4753153
12.00,12.06,6647661
11.99,12.20,9687630
12.30,12.42,6195618
12.30,12.38,9457273
12.35,12.83,12854634
12.80,12.93,6115807
12.68,13.27,10011614
13.24,13.58,23609735
13.65,13.81,6350740
13.80,14.07,14694253
13.69,13.81,11462853
13.65,13.79,7636432
13.53,13.53,8472986
12.84,13.09,9003008
12.77,12.96,5602585
12.60,12.98,7245697
12.98,13.65,8875801
13.77,14.33,18852636
14.08,14.24,7604085
14.15,14.23,6036623
14.06,14.55,7605514
14.56,14.64,10512567
14.40,14.94,10325420
14.58,14.80,38542128
13.65,13.72,9106538
13.73,14.26,5495358
13.93,14.28,4897317
14.15,14.33,3726487
14.06,14.25,5529766
14.50,14.80,6439375
14.75,14.88,7055799
14.61,14.86,5227429
14.60,14.75,6414647
14.73,14.84,8542757
14.48,14.80,8562284
14.80,15.15,13550161
15.00,15.10,7774634
15.02,15.03,8011877
14.94,15.06,11107084
14.95,15.31,20877928
15.06,15.19,10109344
14.94,15.06,4547242
15.00,15.16,3833736
15.32,15.45,3969692
15.40,16.05,6943864
15.95,16.12,4691076
15.95,16.23,6874232
15.73,15.90,7598331
15.27,15.38,8951877
15.21,15.59,4942145
15.30,15.37,11771428
14.94,15.07,13878650
14.40,14.44,18935339
13.76,14.09,4097982
14.18,14.33,6852123
13.96,13.97,7489873
13.64,13.94,6703082
13.51,13.83,16367245
13.80,14.00,9030698
14.00,14.32,11165774
14.22,14.41,11508606
14.04,14.23,4629074
13.90,14.08,5831423
13.84,13.95,5058785
13.54,13.56,9056039
12.85,12.97,6130635
12.73,13.18,5060702
13.10,13.36,14033450
12.81,13.02,16449671
12.88,12.99,24389927
12.07,12.29,22608930
12.13,12.21,12446567
11.95,12.03,5722933
12.01,12.28,3849808
12.00,12.12,5733650
12.27,12.27,2459427
12.10,12.14,6646965
11.90,12.07,4654759
11.94,12.24,2919950
12.40,12.53,4121187
12.39,12.62,9072919
12.60,12.60,9922886
12.10,12.23,7358759
12.10,12.20,4629294
11.82,12.00,4323942
11.85,12.15,4276226
11.89,12.14,4506532
11.78,11.90,5015422
11.90,12.11,11926231
12.04,12.48,5263031
12.35,12.48,6930839
12.35,12.59,4524954
12.57,12.90,4784854
12.73,12.73,3999758
12.43,12.78,5634519
12.52,12.68,3522524
12.70,13.04,4773433
13.00,13.18,5121025
12.92,13.28,4110563
13.22,13.73,5472959
13.60,13.69,4298287
13.45,13.61,3376860
13.41,13.55,3721033
13.43,13.65,2852176
13.70,13.81,4697032
13.19,13.22,11072717
12.86,13.01,3803212
12.99,13.44,4960994
13.34,13.77,4975330
13.83,13.84,4309713
13.55,13.66,7808306
13.03,13.11,4422489
12.85,13.17,3273872
13.11,13.44,11615075
13.23,13.25,6020883
12.80,13.03,5583192
12.88,12.93,9196798
12.30,12.39,14716127
11.86,12.15,4629897
12.11,12.19,4279604
12.05,12.37,7811223
11.81,12.15,4370197
11.88,11.92,7004593
11.09,11.47,5753260
11.33,11.70,5206047
11.47,11.90,5625187
11.86,11.86,4946081
11.84,11.99,4074554
11.84,12.25,4660644
12.32,12.63,6618752
12.38,12.80,5219275
12.63,12.89,4748670
12.72,12.74,3655522
12.55,12.74,3522891
12.30,12.35,5712538
12.27,12.47,4330140
12.10,12.74,4147834
12.80,12.99,5201312
12.51,12.99,5589988
12.80,12.89,3729074
12.77,12.93,3391156
12.95,13.40,4438711
13.15,13.23,4579057
13.15,13.41,3956501
13.34,13.38,6668012
